"System","File","Line","UsageKind","FreeCallPresentInFile","Evidence"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","6157","ExplicitIPooledEnumerable","Yes","IPooledEnumerable itemlist = null;"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","6158","ExplicitIPooledEnumerable","Yes","IPooledEnumerable mobilelist = null;"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","6171","RangeScan","Yes","itemlist = ((Item)invoker).GetItemsInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","6175","RangeScan","Yes","itemlist = ((Mobile)invoker).GetItemsInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","6233","RangeScan","Yes","mobilelist = ((Item)invoker).GetMobilesInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","6237","RangeScan","Yes","mobilelist = ((Mobile)invoker).GetMobilesInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","8932","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = mob.Map.GetClientsInRange(mob.Location);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","8976","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = item.Map.GetClientsInRange("
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9288","ExplicitIPooledEnumerable","Yes","IPooledEnumerable rangelist = null;"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9291","RangeScan","Yes","rangelist = refitem.GetMobilesInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9295","RangeScan","Yes","rangelist = refmob.GetMobilesInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9409","ExplicitIPooledEnumerable","Yes","IPooledEnumerable rangelist = null;"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9412","RangeScan","Yes","rangelist = refitem.GetMobilesInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9416","RangeScan","Yes","rangelist = refmob.GetMobilesInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9504","ExplicitIPooledEnumerable","Yes","IPooledEnumerable rangelist = null;"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9507","RangeScan","Yes","rangelist = refitem.GetMobilesInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9511","RangeScan","Yes","rangelist = refmob.GetMobilesInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9605","ExplicitIPooledEnumerable","Yes","IPooledEnumerable rangelist = null;"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9608","RangeScan","Yes","rangelist = refitem.GetMobilesInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9612","RangeScan","Yes","rangelist = refmob.GetMobilesInRange(range);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/BaseXmlSpawner.cs","9651","ExplicitIPooledEnumerable","Yes","IPooledEnumerable eable = map.GetClientsInRange(e.Location);"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlSpawner2.cs","362","DirectForeachRangeScan","No","foreach (Mobile m in GetMobilesInRange(ProximityRange))"
"Custom:XMLSpawner","Data/Scripts/Custom/XMLSpawner/XmlSpawner2.cs","11611","DirectForeachRangeScan","No","foreach (Mobile p in GetMobilesInRange(m_ProximityRange))"
