"System","File","HookType","Marker","Line","Registration","Handler","Access","Trigger","Guards","Risk","Docs","CommentNeeded"
"Custom:Searches","Data/Scripts/Custom/Searches/Commands.cs","Initialize","Initialize","21","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;MapGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-searches.md","ReviewLater"
"Custom:Searches","Data/Scripts/Custom/Searches/Searches.cs","Initialize","Initialize","92","public static void Initialize()","","GlobalOrInternal","Shard script initialization","MapGuard;RangeGuard","Medium","docs/codebase-audit/outputs/system-cards/custom-searches.md","ReviewLater"
"Staff Toolbar","Data/Scripts/Custom/Staff Toolbar [2.0]/Toolbar.cs","Initialize","Initialize","28","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;DeletedGuard;NullGuard;PacketReadGuard;RangeGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/staff-toolbar.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/StaticGump(Alternative).cs","Initialize","Initialize","11","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/StaticGump(Alternative).cs","Initialize","Initialize","1026","public static void Initialize() { }","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddAnimation.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddArch.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Homestead","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddCooking.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/homestead.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddCustom.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddDeco.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddDungeon.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/addfence.cs","Initialize","Initialize","11","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/addfloor.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddFurniture.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddGear.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddGround.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddLight.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddMisc.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddNature.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/addplants.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/addrock.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/addroof.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
"Static Gump Tool","Data/Scripts/Custom/StaffTools/StaticGumpTool/Side Gumps/AddSignPost.cs","Initialize","Initialize","16","public static void Initialize()","","GlobalOrInternal","Shard script initialization","AccessGuard;BoundsGuard;StateGuard","Medium","docs/codebase-audit/outputs/system-cards/static-gump-tool.md","ReviewLater"
