"Path","Root","PrimaryRole","SecondaryRoles","System","Namespace","Types","IncludedInScriptsProject","ProjectTruthAction","Commands","Hooks","SerializedTypes","Gumps","ConfigData","Evidence"
"Data/Scripts/Mobiles/Constructs/Statues/LivingSilverStatue.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Constructs","Server.Mobiles","class:LivingSilverStatue","True","Keep","","Timer.DelayCall","class:LivingSilverStatue","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Constructs/Statues/LivingStoneStatue.cs","Mobiles","StartupWiring","Persistence;MobileContent;WorldState","Mobiles:Constructs","Server.Mobiles","class:LivingStoneStatue","True","Keep","","Timer.DelayCall","class:LivingStoneStatue","","","Mobiles root; serialization marker; startup/event/timer/world marker; world/quest/controller path marker"
"Data/Scripts/Mobiles/Daemons/AbysmalDaemon.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:AbysmalDaemon","True","Keep","","","class:AbysmalDaemon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/Afreet.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:Afreet","True","Keep","","","class:Afreet","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/Archfiend.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:Archfiend","True","Keep","","","class:Archfiend","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/Balron.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Daemons","Server.Mobiles","class:Balron;class:DemonGate;class:ItemRemovalTimer","True","Keep","","CustomTimerSubclass","class:Balron;class:DemonGate;class:ItemRemovalTimer","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Daemons/BlackGateDemon.cs","Mobiles","StartupWiring","Persistence;MobileContent","Mobiles:Daemons","Server.Mobiles","class:BlackGateDemon;class:InternalTimer","True","Keep","","CustomTimerSubclass","class:BlackGateDemon;class:InternalTimer","","","Mobiles root; serialization marker; startup/event/timer/world marker"
"Data/Scripts/Mobiles/Daemons/BloodDemigod.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:BloodDemigod","True","Keep","","","class:BloodDemigod","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/BloodDemon.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:BloodDemon","True","Keep","","","class:BloodDemon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/BoneDemon.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:BoneDemon","True","Keep","","","class:BoneDemon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/ClassicBalron.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:ClassicBalron","True","Keep","","","class:ClassicBalron","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/ClassicDaemon.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:ClassicDaemon","True","Keep","","","class:ClassicDaemon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/Daemon.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:Daemon","True","Keep","","","class:Daemon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/DaemonTemplate.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:DaemonTemplate","True","Keep","","","class:DaemonTemplate","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/DeepSeaDevil.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:DeepSeaDevil","True","Keep","","","class:DeepSeaDevil","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/Demon.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:Demon","True","Keep","","","class:Demon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/DemonicGhost.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:DemonicGhost","True","Keep","","","class:DemonicGhost","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/DemonOfTheSea.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:DemonOfTheSea","True","Keep","","","class:DemonOfTheSea","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/Devil.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:Devil","True","Keep","","","class:Devil","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/Fiend.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:Fiend","True","Keep","","","class:Fiend","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/FireDemon.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:FireDemon","True","Keep","","","class:FireDemon","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/FireMephit.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:FireMephit","True","Keep","","","class:FireMephit","","","Mobiles root; serialization marker"
"Data/Scripts/Mobiles/Daemons/IceDevil.cs","Mobiles","Persistence","MobileContent","Mobiles:Daemons","Server.Mobiles","class:IceDevil","True","Keep","","","class:IceDevil","","","Mobiles root; serialization marker"
