"Path","Namespace","Types","LikelySystem"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Volturnus.cs","Server.Mobiles","class:Volturnus","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Zeus.cs","Server.Mobiles","class:Zeus","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Barracoon.cs","Server.Mobiles","class:Barracoon;class:ExpirePolymorphTimer","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Ilhenir.cs","Server.Mobiles","class:Ilhenir;class:StainedOoze","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/LordOaks.cs","Server.Mobiles","class:LordOaks","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Mephitis.cs","Server.Mobiles","class:Mephitis","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Neira.cs","Server.Mobiles","class:Neira;class:VirtualMount;class:VirtualMountItem;class:DelayTimer","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Rikktor.cs","Server.Mobiles","class:Rikktor","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Semidar.cs","Server.Mobiles","class:Semidar","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Serado.cs","Server.Mobiles","class:Serado","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Champs-UO/Twaulo.cs","Server.Mobiles","class:Twaulo","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/Bogle.cs","Server.Mobiles","class:Bogle","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/FerelTreefellow.cs","Server.Mobiles","class:FerelTreefellow","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/FetidEssence.cs","Server.Mobiles","class:FetidEssence","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/GreaterMongbat.cs","Server.Mobiles","class:GreaterMongbat","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/Hiryu.cs","Server.Mobiles","class:Hiryu;class:ExpireTimer","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/InterredGrizzle .cs","Server.Mobiles","class:InterredGrizzle","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/Kappa.cs","Server.Mobiles","class:Kappa;class:InternalTimer","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/LesserHiryu.cs","Server.Mobiles","class:LesserHiryu;class:ExpireTimer","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/Oni.cs","Server.Mobiles","class:Oni","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/PestilentBandage.cs","Server.Mobiles","class:PestilentBandage","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueBeast.cs","Server.Mobiles","class:PlagueBeast","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueBeastLord.cs","Server.Mobiles","class:PlagueBeastLord;class:DecayTimer","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueSpawn.cs","Server.Mobiles","class:PlagueSpawn","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/RagingGrizzlyBear.cs","Server.Mobiles","class:RagingGrizzlyBear","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/SerpentineDragon.cs","Server.Mobiles","class:SerpentineDragon","Custom:Champions"
"Data/Scripts/Custom/Champions/Mobiles/Minions/Silvani.cs","Server.Mobiles","class:Silvani","Custom:Champions"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionAltar.cs","Server.Engines.CannedEvil","class:ChampionAltar","Custom:Champions"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionPlatform.cs","Server.Engines.CannedEvil","class:ChampionPlatform","Custom:Champions"
"Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSkullBrazier.cs","Server.Engines.CannedEvil","class:ChampionSkullBrazier;class:SacrificeTarget","Custom:Champions"
