"RecordType","Path","IncludePath","ExistsOnDisk","IncludedInScriptsProject","MissingCompileTarget","UnincludedSource","GeneratedOrOutput","DriftClass","LikelySystem","RuntimeMarkers","Types","Action"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Minions/RagingGrizzlyBear.cs","Custom\Champions\Mobiles\Minions\RagingGrizzlyBear.cs","True","True","False","False","False","","Custom:Champions","","class:RagingGrizzlyBear","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Adimarchus.cs","Custom\Champions\Mobiles\Champs-Prisons\Adimarchus.cs","True","True","False","False","False","","Custom:Champions","","class:Adimarchus","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Bahamut.cs","Custom\Champions\Mobiles\Champs-Prisons\Bahamut.cs","True","True","False","False","False","","Custom:Champions","","class:Bahamut","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Balar.cs","Custom\Champions\Mobiles\Champs-Prisons\Balar.cs","True","True","False","False","False","","Custom:Champions","","class:Balar","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Brona.cs","Custom\Champions\Mobiles\Champs-Prisons\Brona.cs","True","True","False","False","False","","Custom:Champions","","class:Brona","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Conan.cs","Custom\Champions\Mobiles\Champs-Prisons\Conan.cs","True","True","False","False","False","","Custom:Champions","","class:Conan","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Demogorgon.cs","Custom\Champions\Mobiles\Champs-Prisons\Demogorgon.cs","True","True","False","False","False","","Custom:Champions","","class:Demogorgon","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Elric.cs","Custom\Champions\Mobiles\Champs-Prisons\Elric.cs","True","True","False","False","False","","Custom:Champions","","class:Elric","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/GrimReaper.cs","Custom\Champions\Mobiles\Champs-Prisons\GrimReaper.cs","True","True","False","False","False","","Custom:Champions","","class:GrimReaper","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Hercules.cs","Custom\Champions\Mobiles\Champs-Prisons\Hercules.cs","True","True","False","False","False","","Custom:Champions","","class:Hercules","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/KingArthur.cs","Custom\Champions\Mobiles\Champs-Prisons\KingArthur.cs","True","True","False","False","False","","Custom:Champions","","class:KingArthur","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Kronos.cs","Custom\Champions\Mobiles\Champs-Prisons\Kronos.cs","True","True","False","False","False","","Custom:Champions","","class:Kronos","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Lolth.cs","Custom\Champions\Mobiles\Champs-Prisons\Lolth.cs","True","True","False","False","False","","Custom:Champions","","class:Lolth","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/LordVerminaard.cs","Custom\Champions\Mobiles\Champs-Prisons\LordVerminaard.cs","True","True","False","False","False","","Custom:Champions","","class:LordVerminaard","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Merlin.cs","Custom\Champions\Mobiles\Champs-Prisons\Merlin.cs","True","True","False","False","False","","Custom:Champions","","class:Merlin","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Nosferatu.cs","Custom\Champions\Mobiles\Champs-Prisons\Nosferatu.cs","True","True","False","False","False","","Custom:Champions","","class:Nosferatu","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Orcus.cs","Custom\Champions\Mobiles\Champs-Prisons\Orcus.cs","True","True","False","False","False","","Custom:Champions","","class:Orcus","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/RedSonja.cs","Custom\Champions\Mobiles\Champs-Prisons\RedSonja.cs","True","True","False","False","False","","Custom:Champions","","class:RedSonja","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Saruman.cs","Custom\Champions\Mobiles\Champs-Prisons\Saruman.cs","True","True","False","False","False","","Custom:Champions","","class:Saruman","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Talos.cs","Custom\Champions\Mobiles\Champs-Prisons\Talos.cs","True","True","False","False","False","","Custom:Champions","","class:Talos","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Thor.cs","Custom\Champions\Mobiles\Champs-Prisons\Thor.cs","True","True","False","False","False","","Custom:Champions","","class:Thor","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Tiamat.cs","Custom\Champions\Mobiles\Champs-Prisons\Tiamat.cs","True","True","False","False","False","","Custom:Champions","","class:Tiamat","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Treebeard.cs","Custom\Champions\Mobiles\Champs-Prisons\Treebeard.cs","True","True","False","False","False","","Custom:Champions","","class:Treebeard","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Vecna.cs","Custom\Champions\Mobiles\Champs-Prisons\Vecna.cs","True","True","False","False","False","","Custom:Champions","","class:Vecna","Keep"
"ProjectInclude","Data/Scripts/Custom/Champions/Mobiles/Champs-Prisons/Volturnus.cs","Custom\Champions\Mobiles\Champs-Prisons\Volturnus.cs","True","True","False","False","False","","Custom:Champions","","class:Volturnus","Keep"
