"Marker","File","Line","LikelySystem","Notes"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopCoveTrammel.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopCoveTrammel.cs","406","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopCoveTrammel.cs","418","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopMaginciaTrammel.cs","42","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopMaginciaTrammel.cs","637","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopMaginciaTrammel.cs","682","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopMinocTrammel.cs","42","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopMinocTrammel.cs","834","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopMinocTrammel.cs","890","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopNujelmTrammel.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopNujelmTrammel.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopNujelmTrammel.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopSkaraBraeTrammel.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopSkaraBraeTrammel.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopSkaraBraeTrammel.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopTrinsicTrammel.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopTrinsicTrammel.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopTrinsicTrammel.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopVesperTrammel.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopVesperTrammel.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopVesperTrammel.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopYewTrammel.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopYewTrammel.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Sosaria/StartstopYewTrammel.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstoGargoyleCityIlshenar.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstoGargoyleCityIlshenar.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstoGargoyleCityIlshenar.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopAncientCitadelIlshenar.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopAncientCitadelIlshenar.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopAncientCitadelIlshenar.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopLakeShireMiregIlshenar.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopLakeShireMiregIlshenar.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopLakeShireMiregIlshenar.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopMistasIlshenar.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopMistasIlshenar.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopMistasIlshenar.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopMontorIlshenar.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopMontorIlshenar.cs","83","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopMontorIlshenar.cs","95","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
"SendGump","Data/Scripts/Custom/Invasion System/Underworld/StartstopRegValomIlshenar.cs","39","Custom:Invasion System","from.SendGump(new CityInvasion(from));"
