"DocPath","Indexed","SourceTrace","CodeVerified","NeedsRework","LegacySlug","LocalMarkdownLinkCount","NormalizedSlug","CanonicalOrAlias"
"docs/wiki/Magic_Toolbars_Guide.md","True","False","False","False","False","0","magic-toolbars-guide","Unknown"
"docs/wiki/Misc_Core_Systems.md","True","False","False","False","False","0","misc-core-systems","Unknown"
"docs/wiki/Misc_Magic_Spells.md","True","False","False","False","False","2","misc-magic-spells","Unknown"
"docs/wiki/Monster_Nest_System.md","True","False","False","False","False","0","monster-nest-system","Unknown"
"docs/wiki/Mystic_Magic.md","True","False","False","False","False","0","mystic-magic","Unknown"
"docs/wiki/Necromancy.md","True","False","False","False","False","0","necromancy","Unknown"
"docs/wiki/Ninjitsu.md","True","False","False","False","False","0","ninjitsu","Unknown"
"docs/wiki/NPC_Control_Commands.md","True","False","False","False","False","0","npc-control-commands","Unknown"
"docs/wiki/NPC_Mage_Advice.md","True","False","False","False","False","2","npc-mage-advice","Unknown"
"docs/wiki/NPC_Shipwright_Sailing_Guide.md","True","False","False","False","False","0","npc-shipwright-sailing-guide","Unknown"
"docs/wiki/Obsolete_Script_Collection.md","True","False","False","False","False","0","obsolete-script-collection","Unknown"
"docs/wiki/offline-skill-training.md","True","False","True","False","False","0","offline-skill-training","Unknown"
"docs/wiki/OmniAI.md","True","False","False","False","False","0","omniai","Unknown"
"docs/wiki/Pandoras_Gift_Box.md","True","False","False","False","False","0","pandoras-gift-box","Unknown"
"docs/wiki/Player_Government_System_Guide.md","True","False","False","False","False","0","player-government-system-guide","Unknown"
"docs/wiki/Player_Mobile_Core.md","True","True","False","False","False","0","player-mobile-core","Unknown"
"docs/wiki/player-range-sensitive-mod.md","True","False","False","False","False","0","player-range-sensitive-mod","Unknown"
"docs/wiki/point-command.md","True","False","False","False","False","0","point-command","Unknown"
"docs/wiki/PvP_Consent_System.md","True","True","True","False","False","0","pvp-consent-system","Unknown"
"docs/wiki/pvp-consent-system.md","True","False","True","False","True","1","pvp-consent-system","AliasOrCanonicalMention"
"docs/wiki/Quest_Framework.md","True","False","False","False","False","0","quest-framework","Unknown"
"docs/wiki/Race_Token_System.md","True","False","False","False","False","0","race-token-system","Unknown"
"docs/wiki/Random_Encounter_Engine.md","True","False","False","False","False","0","random-encounter-engine","AliasOrCanonicalMention"
"docs/wiki/Ranger_Survival_Training.md","True","False","False","False","False","0","ranger-survival-training","Unknown"
"docs/wiki/Real_Estate_Broker_Appraisal.md","True","False","False","False","False","0","real-estate-broker-appraisal","Unknown"
"docs/wiki/Region_System.md","True","False","False","False","False","0","region-system","Unknown"
"docs/wiki/Relic_Items.md","True","False","False","False","False","0","relic-items","Unknown"
"docs/wiki/Research_Magic.md","True","False","False","False","False","0","research-magic","Unknown"
"docs/wiki/Runic_Tools_Crafting.md","True","True","False","False","False","0","runic-tools-crafting","Unknown"
"docs/wiki/Search_System.md","True","False","True","False","False","0","search-system","Unknown"
"docs/wiki/Shinobi_Magic.md","True","False","False","False","False","0","shinobi-magic","Unknown"
"docs/wiki/Shipwright_Sailing_Tutorial.md","True","False","False","False","False","0","shipwright-sailing-tutorial","Unknown"
"docs/wiki/Shoppes_Vendors.md","True","True","True","False","False","0","shoppes-vendors","Unknown"
"docs/wiki/Skill_Lists.md","True","False","False","False","False","0","skill-lists","Unknown"
"docs/wiki/Skill_Scripts.md","True","False","False","False","False","0","skill-scripts","AliasOrCanonicalMention"
"docs/wiki/skill-stone.md","True","False","False","False","False","0","skill-stone","Unknown"
"docs/wiki/Staff_Toolbar.md","True","False","False","False","False","0","staff-toolbar","Unknown"
"docs/wiki/Standard_Crafting.md","True","True","False","False","False","0","standard-crafting","Unknown"
"docs/wiki/Static_Gump_Tool.md","True","False","False","False","False","0","static-gump-tool","AliasOrCanonicalMention"
"docs/wiki/Stonecrafting.md","True","False","True","False","False","0","stonecrafting","Unknown"
"docs/wiki/SystemAudit.md","False","False","True","True","False","107","systemaudit","AliasOrCanonicalMention"
"docs/wiki/Syth_Magic.md","True","False","False","False","False","0","syth-magic","Unknown"
"docs/wiki/Taxidermy.md","True","False","False","False","False","0","taxidermy","Unknown"
"docs/wiki/Technology_Items.md","True","False","False","False","False","0","technology-items","Unknown"
"docs/wiki/tell-a-friend.md","True","False","False","False","False","0","tell-a-friend","Unknown"
"docs/wiki/The_One_Ring.md","True","False","True","False","False","0","the-one-ring","Unknown"
"docs/wiki/Trade_Guild_Enhancements.md","True","False","False","False","False","0","trade-guild-enhancements","Unknown"
"docs/wiki/Vendor_Core_System.md","True","False","False","False","False","0","vendor-core-system","Unknown"
"docs/wiki/Voting_Rewards.md","True","False","True","False","False","0","voting-rewards","Unknown"
"docs/wiki/voting-system.md","True","False","False","False","True","1","voting-system","AliasOrCanonicalMention"
"docs/wiki/wikiautomationmemory.md","False","False","False","False","True","0","wikiautomationmemory","AliasOrCanonicalMention"
"docs/wiki/wikibacklog.md","False","False","False","False","False","0","wikibacklog","Unknown"
"docs/wiki/wikicommitprompt.md","False","False","False","False","False","0","wikicommitprompt","Unknown"
"docs/wiki/wikihandoff.md","False","False","False","False","False","0","wikihandoff","Unknown"
"docs/wiki/Witchcraft.md","True","False","False","False","False","0","witchcraft","Unknown"
"docs/wiki/World_Basics_Commands.md","True","False","False","False","False","0","world-basics-commands","Unknown"
"docs/wiki/XML_Spawner_Enhancements.md","True","False","True","False","False","0","xml-spawner-enhancements","Unknown"
