##############################
Log started on 5/14/2023 8:01:49 AM

5/14/2023 7:08:16 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'admin '
5/14/2023 7:08:21 PM: 192.168.16.101: Owner 0x186E6 "Nephtan" ('Admin') used command 'go '
5/14/2023 7:15:47 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'bardtool1 '
5/14/2023 7:15:49 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'researchtool1 '
5/14/2023 7:15:49 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'researchtool2 '
5/14/2023 7:15:50 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'researchtool3 '
5/14/2023 7:15:50 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'researchtool4 '
5/14/2023 7:16:10 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:16:11 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:16:12 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:16:13 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:16:14 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:16:15 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:16:17 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:16:18 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:16:19 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:16:21 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castavalanche '
5/14/2023 7:23:55 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:24:08 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:24:37 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:25:15 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:25:44 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:25:53 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:25:54 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:25:54 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:25:55 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:26:18 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:26:19 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:26:20 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:26:21 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:26:39 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:27:11 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:27:31 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:27:47 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:28:13 PM: 172.59.104.61: Player 0x62162 "Malych" ('Daz Bone') used command 'bandself '
5/14/2023 7:30:39 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castavalanche '
5/14/2023 7:30:41 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:30:43 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:30:44 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:30:45 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:30:46 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:30:47 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:30:48 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:30:49 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:30:50 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:30:51 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:30:52 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:30:53 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:30:54 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castconflagration '
5/14/2023 7:30:55 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:30:56 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:30:58 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:31:00 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:31:01 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:31:01 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:31:02 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:31:03 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castrestoration '
5/14/2023 7:33:46 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:33:47 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:33:48 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:33:49 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:33:50 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:33:50 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:33:51 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:33:52 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:33:53 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:33:54 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castavalanche '
5/14/2023 7:33:58 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
5/14/2023 7:34:00 PM: 192.168.16.101: Player 0x4650 "Zeph" ('jhs59') used command 'castextinguish '
